target_id,disease_id,transition_year,outcome
ENSG00000196639,HP_0001371,2013,False
ENSG00000145863,EFO_0000400,2008,False
ENSG00000167553,MONDO_0015540,2012,False
ENSG00000136807,EFO_0000574,1997,False
ENSG00000122025,EFO_0003897,2006,False
ENSG00000161509,MONDO_0011382,2008,True
ENSG00000127824,EFO_1000044,2013,True
ENSG00000144285,EFO_0007191,2009,False
ENSG00000120156,EFO_1001951,2014,False
ENSG00000157404,MONDO_0002108,2004,False
ENSG00000204264,EFO_0003060,2002,False
ENSG00000121989,EFO_0003931,2006,False
ENSG00000014257,EFO_0001663,2012,False
ENSG00000115286,EFO_0000519,2015,False
ENSG00000112164,MONDO_0004975,2014,False
ENSG00000273079,EFO_0001358,2014,False
ENSG00000080824,EFO_0000305,2009,False
ENSG00000188846,MONDO_0004736,2010,False
ENSG00000154611,EFO_0005952,2004,False
ENSG00000144285,MONDO_0005299,2010,False
ENSG00000151062,EFO_0005687,2003,True
ENSG00000175482,MONDO_0002974,2000,True
ENSG00000167535,EFO_0003768,2007,False
ENSG00000136531,MONDO_0018975,2014,False
ENSG00000130816,EFO_1001480,2015,False
ENSG00000134419,MONDO_0010311,2008,False
ENSG00000069696,EFO_0005687,2004,False
ENSG00000065989,EFO_0003778,2007,True
ENSG00000213619,HP_0000842,2000,False
ENSG00000111816,MONDO_0007576,2013,True
ENSG00000168830,MONDO_0005090,2002,True
ENSG00000212907,MONDO_0001187,2015,False
ENSG00000167552,MONDO_0015459,2007,True
ENSG00000122025,EFO_0000666,2011,False
ENSG00000188229,EFO_0003893,1995,True
ENSG00000104833,EFO_0000275,2013,True
ENSG00000114391,MONDO_0010679,2005,True
ENSG00000146904,MONDO_0007254,2006,False
ENSG00000037280,MONDO_0004992,2004,True
ENSG00000160191,MONDO_0002050,2012,False
ENSG00000167553,EFO_0003875,2008,False
ENSG00000152086,EFO_0003891,2001,False
ENSG00000171132,EFO_0002618,2002,False
ENSG00000168522,EFO_0000222,2001,True
ENSG00000152086,EFO_0008528,2012,False
ENSG00000151617,EFO_0009708,2003,False
ENSG00000185386,EFO_0005762,2009,False
ENSG00000184983,MONDO_0008315,2005,True
ENSG00000168542,EFO_1000941,2006,False
ENSG00000134853,EFO_0000676,2005,False
ENSG00000164270,EFO_0000373,2006,False
ENSG00000197894,MONDO_0009061,2015,False
ENSG00000127824,EFO_0006818,2000,True
ENSG00000073756,EFO_1001898,2014,False
ENSG00000153253,MONDO_0001572,2015,False
ENSG00000196262,EFO_0001378,2008,False
ENSG00000169252,EFO_1001158,2010,False
ENSG00000097007,EFO_0000708,2011,False
ENSG00000048392,EFO_0005221,2004,True
ENSG00000103546,EFO_1001892,2006,True
ENSG00000113263,EFO_0000564,2011,False
ENSG00000240065,EFO_0005952,2004,False
ENSG00000101162,MONDO_0004986,2001,False
ENSG00000176014,MONDO_0001056,1997,True
ENSG00000188229,MONDO_0004986,2001,False
ENSG00000065518,EFO_0000365,2012,False
ENSG00000112115,MONDO_0005301,2012,False
ENSG00000183873,EFO_1001219,2007,False
ENSG00000164794,HP_0002140,2012,True
ENSG00000137267,EFO_0004616,2013,False
ENSG00000175482,EFO_0001075,2002,True
ENSG00000171848,EFO_0000182,2004,True
ENSG00000151366,MONDO_0005575,2012,True
ENSG00000090402,EFO_0004220,2004,False
ENSG00000112715,MONDO_0015459,2012,False
ENSG00000267855,MONDO_0001187,2015,False
ENSG00000073417,EFO_0005774,2011,False
ENSG00000069764,EFO_0001645,2007,False
ENSG00000178057,EFO_0003769,2014,False
ENSG00000183648,HP_0003074,2012,False
ENSG00000125538,MONDO_0044212,2012,False
ENSG00000128271,HP_0001397,2013,False
ENSG00000106628,EFO_1001961,2014,True
ENSG00000169313,MONDO_0004979,2012,False
ENSG00000100429,EFO_0001378,1997,True
ENSG00000168522,EFO_0000198,2002,True
ENSG00000139180,EFO_1000657,2015,False
ENSG00000110944,MONDO_0007915,2015,True
ENSG00000142408,EFO_0000474,1997,True
ENSG00000152086,EFO_0005922,2011,True
ENSG00000198033,EFO_0000365,2002,False
ENSG00000037280,EFO_1000616,2011,False
ENSG00000152270,EFO_1001375,2011,False
ENSG00000088926,MONDO_0019623,2010,True
ENSG00000158445,EFO_0005542,2011,False
ENSG00000116478,EFO_1000616,2005,False
ENSG00000104833,EFO_0000389,1999,False
ENSG00000175482,MONDO_0003000,2010,False
ENSG00000097007,EFO_0000702,2002,False
ENSG00000139219,EFO_0003907,2007,False
ENSG00000185624,EFO_0004211,2004,False
ENSG00000258947,MONDO_0005090,2007,False
ENSG00000274286,MONDO_0004979,2010,True
ENSG00000101336,EFO_0005221,2015,False
ENSG00000113851,MONDO_0015760,2008,False
ENSG00000137267,EFO_0002618,1998,True
ENSG00000123360,EFO_0003777,2012,False
ENSG00000182389,HP_0000360,2003,False
ENSG00000142166,EFO_0007304,2001,True
ENSG00000131473,HP_0003124,2012,True
ENSG00000183648,EFO_1000045,2014,False
ENSG00000167986,EFO_0003898,2013,False
ENSG00000069696,EFO_0006911,2014,True
ENSG00000145864,EFO_0000565,2011,False
ENSG00000160870,EFO_0000764,1998,True
ENSG00000151577,EFO_0002628,2010,True
ENSG00000113580,EFO_0005628,2008,True
ENSG00000094631,MONDO_0001056,2009,False
ENSG00000137267,EFO_1001469,2003,True
ENSG00000125508,EFO_0000588,2007,False
ENSG00000127824,EFO_0002938,2010,False
ENSG00000112115,EFO_0000685,2009,True
ENSG00000101213,MONDO_0008903,2003,True
ENSG00000117594,MONDO_0004975,2010,False
ENSG00000168356,MONDO_0018975,2014,False
ENSG00000163359,EFO_0003907,2007,False
ENSG00000153253,EFO_0000313,2011,False
ENSG00000120907,HP_0100543,2014,False
ENSG00000185627,MONDO_0002367,2013,False
ENSG00000258947,EFO_0008528,2012,False
ENSG00000167792,EFO_0003144,2011,False
ENSG00000006116,EFO_0006510,2006,True
ENSG00000164182,EFO_0001075,2014,False
ENSG00000151366,HP_0012115,2003,False
ENSG00000005844,EFO_0000699,2006,False
ENSG00000164418,MONDO_0005299,2010,False
ENSG00000145692,MONDO_0004737,2015,False
ENSG00000171720,EFO_0000574,2004,True
ENSG00000111816,MONDO_0011719,2008,True
ENSG00000000938,MONDO_0008315,2007,False
ENSG00000182866,EFO_0000691,2005,True
ENSG00000172572,EFO_0001421,2005,False
ENSG00000065361,EFO_0003869,2002,False
ENSG00000102755,EFO_0005221,2011,False
ENSG00000198033,EFO_0000564,2010,False
ENSG00000100387,EFO_0003060,2005,False
ENSG00000101180,EFO_0004566,2007,False
ENSG00000100479,EFO_0000365,2011,False
ENSG00000197405,EFO_0004826,2015,False
ENSG00000188389,MONDO_0001187,2015,True
ENSG00000070886,EFO_0003060,2002,True
ENSG00000164116,EFO_0008583,2006,False
ENSG00000167552,EFO_0004616,2013,False
ENSG00000037280,EFO_0003086,2007,False
ENSG00000239732,MONDO_0005148,2014,False
ENSG00000161057,MONDO_0008315,2004,False
ENSG00000168539,EFO_0000341,2005,True
ENSG00000268089,HP_0000739,1997,True
ENSG00000157764,MONDO_0003060,2014,False
ENSG00000188229,EFO_0007352,2015,False
ENSG00000159352,EFO_0000565,2015,False
ENSG00000006283,EFO_0005323,2014,False
ENSG00000164885,EFO_0003060,2006,False
ENSG00000128052,EFO_0003086,2007,False
ENSG00000127824,MONDO_0021637,2011,False
ENSG00000185624,MONDO_0021187,2009,False
ENSG00000147955,MONDO_0005277,2014,False
ENSG00000102001,HP_0003419,2004,False
ENSG00000140009,MONDO_0005180,2003,False
ENSG00000163932,EFO_0007359,2005,False
ENSG00000197561,MONDO_0005147,2010,False
ENSG00000167658,EFO_1000956,2006,True
ENSG00000163599,EFO_0002617,2010,True
ENSG00000104833,Orphanet_145,2005,False
ENSG00000166206,EFO_0004329,2015,False
ENSG00000205220,EFO_0000588,2009,False
ENSG00000213619,EFO_0003769,2014,False
ENSG00000138735,HP_0200023,2008,False
ENSG00000061273,EFO_0000681,2008,True
ENSG00000112715,EFO_0003770,2005,True
ENSG00000112769,EFO_0003907,2007,False
ENSG00000117601,MONDO_0008170,2005,False
ENSG00000151067,EFO_0005687,2003,True
ENSG00000187730,HP_0000739,1997,True
ENSG00000170906,EFO_0003869,2014,False
ENSG00000097007,MONDO_0011934,2004,False
ENSG00000111816,EFO_0004142,2011,True
ENSG00000113580,HP_0007957,2014,False
ENSG00000196591,MONDO_0004064,2005,False
ENSG00000113721,EFO_0001361,2006,True
ENSG00000100346,MONDO_0004986,2015,False
ENSG00000102755,EFO_0000196,2007,False
ENSG00000075461,MONDO_0004986,2015,False
ENSG00000102755,EFO_0006861,2004,False
ENSG00000159110,MONDO_0044903,2013,False
ENSG00000171557,HP_0002647,2013,False
ENSG00000176014,MONDO_0003890,2012,False
ENSG00000113578,MONDO_0005148,2014,False
ENSG00000141510,EFO_0003060,2012,False
ENSG00000196739,EFO_0000759,2012,False
ENSG00000088832,EFO_0003869,2002,False
ENSG00000087586,EFO_0000702,2014,False
ENSG00000163288,EFO_0009513,2012,False
ENSG00000091831,EFO_0000294,2007,False
ENSG00000128609,HP_0001397,2004,True
ENSG00000169031,EFO_1000941,2006,False
ENSG00000197170,EFO_1001951,2002,False
ENSG00000198033,Orphanet_145,2005,False
ENSG00000171608,EFO_0000341,2014,False
ENSG00000182578,EFO_0002892,2013,False
ENSG00000074410,EFO_0000712,2015,False
ENSG00000186642,EFO_0000685,2007,False
ENSG00000011677,HP_0000739,1997,True
ENSG00000095303,EFO_0000555,2004,True
ENSG00000119421,HP_0003074,2012,False
ENSG00000178057,EFO_0002617,2011,False
ENSG00000135862,EFO_0009321,2006,False
ENSG00000169083,MONDO_0000088,2004,False
ENSG00000213741,MONDO_0010602,2009,False
ENSG00000178057,EFO_0001645,2011,False
ENSG00000068024,EFO_0009441,2009,False
ENSG00000122406,MONDO_0010679,2005,True
ENSG00000188153,EFO_0009321,2006,False
ENSG00000184588,EFO_0005611,2008,False
ENSG00000125508,MONDO_0008903,2006,False
ENSG00000129159,EFO_0007292,2002,False
ENSG00000119421,EFO_1000045,2014,False
ENSG00000198900,MONDO_0002120,1999,False
ENSG00000198056,EFO_0000707,2012,False
ENSG00000087586,EFO_0000305,2015,False
ENSG00000132170,MONDO_0005575,2009,False
ENSG00000099795,EFO_0003144,2011,False
ENSG00000257365,EFO_1001465,2003,False
ENSG00000102755,EFO_1000576,2015,False
ENSG00000119421,EFO_0000589,2004,True
ENSG00000068078,EFO_0001378,2005,True
ENSG00000175482,EFO_0000095,1997,True
ENSG00000123545,EFO_0004593,2005,True
ENSG00000132639,HP_0009926,2011,False
ENSG00000139874,EFO_1001307,2013,False
ENSG00000137285,MONDO_0004192,2001,False
ENSG00000081248,EFO_0006510,2006,True
ENSG00000188229,EFO_0003875,2008,False
ENSG00000112164,EFO_0001073,2007,True
ENSG00000180616,EFO_1000045,2014,False
ENSG00000128602,MONDO_0018648,2015,False
ENSG00000023228,EFO_0000196,2013,False
ENSG00000027075,EFO_0000729,2010,False
ENSG00000112769,EFO_0003966,2004,False
ENSG00000183873,MONDO_0000437,2010,False
ENSG00000176014,EFO_0003897,1998,True
ENSG00000128052,MONDO_0016238,2014,False
ENSG00000167553,EFO_0009907,1997,False
ENSG00000165731,MONDO_0021063,2015,True
ENSG00000167434,EFO_0000195,2011,False
ENSG00000113721,MONDO_0005149,2007,False
ENSG00000196230,MONDO_0005411,2001,False
ENSG00000177455,EFO_0004256,2015,False
ENSG00000182578,MONDO_0001187,2006,False
ENSG00000167986,EFO_0007160,2013,False
ENSG00000184588,EFO_0000676,2005,True
ENSG00000233927,MONDO_0004736,2010,False
ENSG00000180871,EFO_0007187,2012,False
ENSG00000277791,EFO_0003060,2002,False
ENSG00000168398,EFO_0004616,2010,False
ENSG00000112038,EFO_0003964,2010,False
ENSG00000094631,EFO_0006861,2005,False
ENSG00000137267,EFO_0002916,2005,True
ENSG00000096968,EFO_1001951,2014,False
ENSG00000128052,EFO_0006861,2004,False
ENSG00000176014,HP_0100543,2006,False
ENSG00000077092,EFO_1000726,2012,False
ENSG00000091831,MONDO_0008315,2001,True
ENSG00000120251,EFO_0002501,2003,False
ENSG00000151366,EFO_0000228,2013,False
ENSG00000198763,MONDO_0011962,2013,False
ENSG00000105810,EFO_0000756,2003,False
ENSG00000196591,EFO_1001968,2010,False
ENSG00000163288,MONDO_0000723,2005,False
ENSG00000102755,MONDO_0810000,2007,False
ENSG00000157388,MONDO_0005180,2008,True
ENSG00000165264,EFO_0000519,2015,False
ENSG00000130414,MONDO_0007254,2009,True
ENSG00000154928,MONDO_0004992,2007,False
ENSG00000183873,HP_0012532,2010,True
ENSG00000167792,EFO_0004593,2005,True
ENSG00000100368,EFO_0000384,2003,True
ENSG00000144285,EFO_0009806,2009,False
ENSG00000273079,EFO_0004242,2009,False
ENSG00000097007,MONDO_0002108,2004,False
ENSG00000138794,EFO_0004220,2004,False
ENSG00000145864,EFO_0005611,1997,False
ENSG00000113580,EFO_0000398,2002,False
ENSG00000113851,EFO_0000676,2003,False
ENSG00000119535,EFO_0003893,1995,False
ENSG00000108878,EFO_0003890,2007,False
ENSG00000137267,MONDO_0000873,2004,False
ENSG00000129521,MONDO_0002280,2014,True
ENSG00000158864,Orphanet_309005,2006,True
ENSG00000174343,HP_0000360,2005,True
ENSG00000232810,EFO_0000699,1999,False
ENSG00000149968,EFO_0003047,2009,False
ENSG00000123360,EFO_0000220,2015,False
ENSG00000142319,EFO_0000384,2005,False
ENSG00000100429,EFO_0002892,2010,False
ENSG00000142627,EFO_0000519,2009,False
